Planet,Distance
Kepler-771 b,1000.00
Kepler-987 b,936.00
Kepler-1508 b,892.00
Kepler-271 d,
Kepler-62 c,368.00
Kepler-62 b,368.00
Kepler-62 e,368.00
Kepler-244 b,
Kepler-1057 b,1462.00
Kepler-271 c,
Kepler-82 c,
Kepler-82 b,
Kepler-244 c,
Kepler-557 b,1126.00
Kepler-82 e,
Kepler-82 d,
HAT-P-40 b,501.00
Kepler-1302 b,727.00
Kepler-1327 b,688.00
Kepler-282 e,
CHXR 73 b,
WASP-156 b,140.00
Kepler-79 b,
Kepler-87 b,
Kepler-1145 b,714.00
HD 1461 b,23.44
BD+20 2457 c,200.00
BD+20 2457 b,200.00
Kepler-716 b,675.00
Kepler-1647 b,
Kepler-1363 b,559.00
Kepler-1619 b,520.00
HD 59686 A b,96.80
HAT-P-45 b,305.00
Kepler-44 b,2250.00
GJ 625 b,6.49
HATS-12 b,
Kepler-505 b,222.00
Kepler-728 b,1236.00
Kepler-463 b,336.00
Kepler-628 b,579.00
K2-74 b,
Kepler-173 b,
Kepler-36 c,470.00
Kepler-1362 b,767.00
GJ 649 b,10.32
HAT-P-38 b,249.00
K2-159 b,
Kepler-403 b,
Kepler-479 b,371.00
Kepler-800 b,1049.00
Kepler-26 e,
Kepler-154 b,
Kepler-154 c,
Kepler-154 d,
Kepler-154 e,
Kepler-154 f,
HD 27631 b,44.54
HATS-4 b,420.00
Kepler-969 c,411.00
SR 12 AB c,
Kepler-1430 b,541.00
Kepler-1046 b,518.00
Kepler-597 b,660.00
Kepler-1510 b,1615.00
gam Cep b,13.79
tau Boo b,15.60
mu Leo b,40.78
Kepler-1262 b,1153.00
HD 6718 b,54.90
HAT-P-66 b,927.00
Kepler-701 b,755.00
OGLE2-TR-L9 b,
HD 110014 b,90.00
GJ 1148 c,11.03
K2-18 b,34.00
K2-18 c,34.00
HD 73526 c,94.61
Kepler-1153 b,1185.00
KIC 8540376 c,
KIC 8540376 b,
WASP-79 b,240.00
Kepler-1320 b,771.00
Kepler-623 b,811.00
Kepler-1112 b,1734.00
HD 219077 b,29.20
Kepler-1086 b,464.00
Kepler-1086 c,464.00
HD 130322 b,29.76
CoRoT-2 b,200.00
Kepler-1376 b,864.00
HD 137388 A b,38.45
Kepler-285 c,
MOA-bin-1L b,5100.00
HATS-23 b,747.00
WASP-101 b,
HD 79498 b,49.00
TRAPPIST-1 h,12.10
Kepler-408 b,
WASP-57 b,455.00
TRAPPIST-1 c,12.10
